Time (UTC) (Dd-MMM-yyyy HH:mm:ss),Year,Latitude (Degrees East),Longitude (Degrees North),Temperature (Degrees Celsius),Salinity (practical salinity unit),Chlorophyll (Micrograms per Liter),Turbidity(Nephelometric Turbidity Units),Oxygen (millilitres O2 per liter),Significant wave height (meters),Wave from direction (Degrees clockwise from due north),Wave period (seconds),North surface currents (meters/second),East surface currents (meters/second)
3/23/2016,2016,38.963675,-76.446862,NaN,0.8,3,10.7,9.1,0.3,9.62E+01,4.9,-77.18,92.42
3/23/2016,2016,38.963667,-76.446875,NaN,NaN,1.9,NaN,NaN,0.1,1.56E+02,1.9,-77.21,92.48
3/23/2016,2016,38.96367,-76.44687,9.8,9.1,3.1,2.5,11.3,0.2,1.54E+02,2.1,-30.6,142.98
3/23/2016,2016,38.963677,-76.446867,9.6,9.2,3,2.3,11,0.1,1.64E+02,1.9,-45.59,136.59
3/23/2016,2016,38.963672,-76.446862,9.3,9.3,4.4,2.3,11,0.2,1.67E+02,2.1,-7.14,58.01
3/24/2016,2016,38.963672,-76.446868,9.1,9.4,4.7,2.3,10.9,0.2,1.70E+02,2,26.41,-16.98
3/24/2016,2016,38.96367,-76.44686,9.2,9.4,5.1,2.3,11.1,0.1,1.67E+02,2.2,4.44,-55.37
3/24/2016,2016,38.963665,-76.446863,9.1,9.4,6.5,2.3,11.4,0.1,1.65E+02,2.2,-24.51,-55.66
3/24/2016,2016,38.963672,-76.446863,9.3,9.3,8.3,2.1,11.2,0.1,163,2.2,-66.52,-58.11
3/24/2016,2016,38.963672,-76.446858,9.2,NaN,8.7,2.1,11.1,0.1,1.56E+02,2.1,-67.59,-71.33
3/24/2016,2016,38.963668,-76.446863,NaN,9.2,7.7,1.9,11,NaN,NaN,NaN,-73.3,-36.47
3/24/2016,2016,38.963677,-76.44686,9.3,9.1,8.1,1.9,NaN,0.1,1.64E+02,2.3,-74.52,5.61
3/24/2016,2016,38.963675,-76.446865,9.4,9.1,8.2,1.8,10.9,NaN,NaN,NaN,-56.2,54.87
3/24/2016,2016,38.963672,-76.446857,9.4,9,6.8,1.8,10.9,0.1,1.69E+02,2.2,-32.67,93.51
3/24/2016,2016,38.963673,-76.446862,9,9.3,6.5,1.9,11,NaN,NaN,NaN,-29.99,143.37
3/24/2016,2016,38.963673,-76.446868,8.6,9.6,5.4,2.2,10.9,0.2,1.64E+02,2.3,-35.64,127.87
3/24/2016,2016,38.96367,-76.446868,8.5,NaN,5.8,2.1,10.9,NaN,NaN,NaN,-47.38,66.77
3/24/2016,2016,38.963675,-76.446865,9.1,8.8,6.8,2.1,11.2,0.1,1.61E+02,2.6,-52.3,10.24
3/24/2016,2016,38.963672,-76.446868,9,9,4.5,1.8,11.2,0.2,1.74E+02,2.2,-27.38,-55.8
3/24/2016,2016,38.963667,-76.446858,9.5,8.6,2.3,1.7,11.2,0.2,1.79E+02,2.4,-40.48,-101.48
3/24/2016,2016,38.963672,-76.44686,9.4,9.1,2.1,1.8,11.1,0.2,1.87E+02,2.2,-59.73,-101.88
3/24/2016,2016,38.963667,-76.446858,9.7,9.2,1.9,1.8,11,0.2,1.68E+02,2.1,-58.44,-110.45
3/24/2016,2016,38.963667,-76.44687,10.1,9.3,1.8,1.9,11,0.2,1.84E+02,2.1,-26.69,-63.04
3/24/2016,2016,38.963675,-76.446862,9.9,9.6,2,2,10.9,0.1,1.98E+02,2,-82.09,-53.01
3/24/2016,2016,38.963678,-76.446872,9.7,9.6,2.8,2.1,11,0.2,1.83E+02,2,-66.46,-15.25
3/24/2016,2016,38.963675,-76.446865,9.4,9.7,3.5,2.1,11.1,NaN,NaN,NaN,-41.18,30.68
3/24/2016,2016,38.963677,-76.446863,9.5,10,4,1.9,11.2,0.3,1.68E+02,2,-114.5,78.58
3/24/2016,2016,38.9637,-76.446865,9.5,10,5,1.9,11.2,0.4,1.71E+02,2.3,-25.96,78.34
3/24/2016,2016,38.963695,-76.446865,9.5,9.9,6.3,1.8,11.2,0.4,1.67E+02,2.4,-35.24,18.72
3/25/2016,2016,38.963687,-76.44686,9.4,10,6.6,1.9,11.2,0.3,162,2.3,-24.1,-39.41
3/25/2016,2016,38.963693,-76.446862,9.3,10,6.8,2.3,11.1,0.3,1.69E+02,2.2,-27.15,-85.11
3/25/2016,2016,38.963687,-76.446862,9.3,10,7,2,11.1,0.5,1.62E+02,2.8,-60.95,-117.5
3/25/2016,2016,38.963698,-76.446857,NaN,10,7.6,2.5,11,0.5,1.70E+02,2.8,-28.97,-111.18
3/25/2016,2016,38.963698,-76.446858,9.4,9.9,7.5,3.1,10.9,0.6,1.64E+02,3,-3.03,-87.96
3/25/2016,2016,38.963693,-76.446865,9.4,8.5,7.4,3.7,10.8,0.5,1.66E+02,3.1,-24.63,-69.92
