Land-River Segment,FIPS,County,Tributary Basin,Major Basin,Source Sector,"Total N, 1985 (lb.)","Total N, 2007 (lb.)","Total N, 2009 (lb.)","Total N, 2010 (lb.)","Total N, 2011 (lb.)","Total N, 2012 (lb.)","Total N, 2013 (lb.)","Total N, 2014 (lb.)","Total N, 2015 (lb.)","Total N, 2016 (lb)","Total N Target, 2017 (lb.)",Total N Target 2025 (lb.)
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,51155.91944,44291.18848,44013.49732,44071.13037,44127.95483,44065.74414,43439.70019,42644.76965,42279.00008,43150.36548,44567.21876,44936.36639
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,23.74480057,11.60046959,11.60046959,11.60046959,11.60046959,11.60046959,11.60046959,11.60046959,11.60046959,11.60046959,11.60046915,11.60046885
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,593.9841919,539.5734253,534.8148193,532.0961914,530.2841187,527.5651245,687.8466187,553.0435791,547.539978,542.8953857,466.8039131,421.4633089
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,4163.487261,2510.113876,2473.74525,2463.564675,2455.81718,2456.445068,5187.855037,2569.29344,2718.07306,2686.010203,2278.617397,2148.532161
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,153.1799011,54.93151528,298.7707029,111.2639855,113.8582849,101.0508813,93.21610671,170.5789836,0.90237838,68.77724105,160.7122332,68.67325344
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,15441.9993,6334.096958,5363.781002,5447.929184,5298.208617,4807.539082,4257.63057,7078.612716,6868.731842,6590.542831,5426.166399,5467.756663
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,12118.45764,11013.50366,10978.34619,11011.17828,11052.81519,11051.16974,10846.24414,10585.3004,10523.75799,10762.61346,11117.06508,11209.54435
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,29.3120594,14.32032967,14.32032967,14.32032967,14.32032967,14.32032967,14.32032967,14.32032967,14.32032967,14.32032967,14.32033053,14.3203311
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,358.9631958,346.29599,340.4533081,337.1145935,333.7806091,403.3226929,328.6795044,322.6648865,319.0997925,300.3192831,269.6681451
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,2093.07341,1496.25692,1479.859032,1454.163757,1450.836548,1453.36145,2195.390412,1547.939217,1586.918999,1577.706947,1352.332433,1267.314701
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0.377430111,0.377430111,0.377430111,0,0,0,0,0.226458088,0.377430146
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,13956.27287,5724.682877,4847.886677,4924.01392,4785.652949,4345.307255,3847.08921,6396.102356,6207.595497,5956.315636,4904.289851,4941.891967
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,13574.4231,11876.82178,11801.78735,11801.39124,11817.07202,11780.31641,12063.67633,11560.09003,11507.73443,11765.2124,11949.35806,12047.73852
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,582.4102173,284.5351868,284.5351868,284.5351868,284.5351868,284.5351868,284.5351868,284.5351868,284.5351868,284.5351868,284.5351723,284.5351627
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,505.4648132,577.6740112,608.7546997,623.7426758,631.2379761,638.1672974,651.7938843,580.3499756,578.4796753,576.7462158,539.9315649,494.0494751
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,5865.37323,6168.205078,6048.884277,6000.135315,6024.332367,6366.909669,5457.427307,5347.500672,5199.555771,5187.151413,5626.438147,5344.807394
