Land-River Segment,FIPS,County,Tributary Basin,Major Basin,Source Sector,"Total P, 1985 (lb.)","Total P, 2007 (lb.)","Total P, 2009 (lb.)","Total P, 2010 (lb.)","Total P, 2011 (lb.)","Total P, 2012 (lb.)","Total P, 2013 (lb.)","Total P, 2014 (lb.)","Total P, 2015 (lb.)","Total P, 2016 (lb.)","Total P Target, 2017 (lb.)",Total P Target 2025 (lb.)
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,1858.8643893000001,661.01270959999999,553.00392581999995,521.46151830999997,483.04801373999999,421.83106780000003,402.63392492999998,959.50238701000001,916.83461332321178,871.96264028549194,507.23401864799996,476.72074720000001
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,2261.9912875999999,2138.6725230000002,2117.1964954999999,2120.3830410999999,2123.0661921999999,2128.6806870999999,2098.7793880999998,2064.9804379000002,2047.9643211364748,2087.2655792236328,2142.33732212,2159.0978731999999
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,1.831472993,1.831472993,1.831472993,1.831472993,1.831472993,1.831472993,1.831472993,1.831472993,1.831472992897034,1.831472992897034,1.8314731958,1.831473331
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,795.78540179000004,561.28832691000002,558.58755063000001,556.96359561999998,554.12307808000003,554.28564955000002,1090.8895769000001,589.16164032999995,594.58184868842352,597.08183895051491,473.67571124400001,417.06781832000001
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,102.4774017,15.267178123000001,84.801586682999996,28.874965490000001,29.228816810000001,35.57773572,33.782490488999997,105.70377803,0.857380628585815,17.213120222091678,46.088482862999996,20.279746982999999
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,3222.3239245,1145.8259201000001,958.70923754,904.00141958999995,837.81573889000003,731.22608916000001,697.96283251,1663.3268410999999,1589.3453488349915,1511.529005050659,879.35443830199995,826.45123880999995
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,569.71947098999999,565.41991619999999,561.47614671999997,563.26724051999997,565.26237676999995,567.59477615000003,557.16570853999997,544.96983049000005,541.98496788740158,553.51729583740234,568.17086489799999,572.63401035000004
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,2.403793097,2.403793097,2.403793097,2.403793097,2.403793097,2.403793097,2.403793097,2.403793097,2.403793096542359,2.403793096542359,2.4037929662,2.403792879
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,363.12457079000001,287.48019025999997,285.99559023,282.39905168000001,281.08455656000001,281.71884535999999,357.42698668999998,279.59234237999999,283.14195823669434,287.90642738342291,239.450555232,208.42053189999999
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0.003558515,0.003558515,0.003558515,0,0,0,0,0.0021351492,0.003558582
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,4087.4985025000001,1453.2627878000001,1215.3650293000001,1145.9576574,1061.6306019000001,926.53062358,889.55520910999996,2116.2379913,2022.4275102615356,1923.5447540283203,1114.7775128200001,1047.7191685
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,889.31137081999998,850.41241834000004,841.78268819000004,841.92607878000001,842.94166569000004,843.83157733999997,864.28644939000003,829.86814496,826.34762704372406,843.77707862854004,851.78034835400001,858.44545513000003
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,62.38100815,62.38100815,62.38100815,62.38100815,62.38100815,62.38100815,62.38100815,62.38100815,62.381008148193359,62.381008148193359,62.381010586000002,62.381012210000002
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,1109.5233231,1469.1744842000001,1376.7293092,1365.2801818999999,1363.3603211,1534.8876342000001,1048.4339752000001,966.61897269999997,921.85341262817383,959.423007965088,1200.16307542,1082.4522529000001
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,1071.3411255000001,1127.0533295,1109.9738311999999,1137.2406311,1334.2207946999999,1323.6353913,1302.0786895000001,1371.2644958000001,1198.9639892578125,1428.3264923095703,1148.38978112,1174.0004144
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,369.20360154999997,131.24923694,109.78518051,103.48942827,95.872480097999997,83.661560879999996,80.326840274999995,191.14868501999999,182.66205829381946,173.72285044193265,100.68099027299999,94.611530114999994
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,95.381605147000002,93.093008999000006,92.317277673000007,92.550590989,92.791354652999999,93.129461765000002,93.297191616999996,89.656077382000007,89.182257741689696,91.016485214233413,93.422256038400008,94.158908281999999
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,17.7221908,16.127294577000001,16.225578905999999,16.063490871999999,16.013525007999998,16.061270231999998,18.65552306,19.055442328000002,15.983059525489805,16.751692175865177,13.603200986399999,11.854949039999999
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,0,
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,10838.189354,3853.3523405999999,3222.6130770999998,3038.4756108000001,2813.0738161999998,2456.1159360000001,2358.5577812000001,5611.3084182000002,5362.844202041626,5100.5336418151855,2955.8445246399997,2777.9988229999999
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,2784.3500672,2712.9862822999999,2690.7635190999999,2697.6534267000002,2703.790512,2714.6116565000002,2705.7782898999999,2616.5703030999998,2597.4881656169887,2651.5273742675781,2722.9663178199999,2744.4348503000001
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,20.316820140000001,20.316820140000001,20.316820140000001,20.316820140000001,20.316820140000001,20.316820140000001,20.316820140000001,20.316820140000001,20.316820144653317,20.316820144653317,20.316822030000001,20.316823289999999
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,1036.2538394000001,849.12751580999998,846.18717950999996,839.00894166,865.59172058000001,838.86080175999996,1023.9837952,805.60064702,940.04808044433582,927.01707458496105,714.74378455200008,627.11485458000004
A24041EU0_4700_0000,24041,TALBOT,Upper Eastern Shore,Eastern Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,420.4042053,182.2881927,192.9042053,256.19958500000001,211.19799800000001,174.8887939,266.66760249999999,177.2843933,0,162.37159729003903,192.89222144000001,192.88423220000001
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,2614.9648142999999,929.71616607999999,777.52825024000003,733.09795516999998,679.18187523999995,592.71663783999998,569.18885236000006,1353.8933449000001,1293.8161606788638,1230.5958118438721,713.16134726799999,670.25007861999995
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,637.52423474,627.04538724999998,622.02121926999996,623.67318346000002,625.39145283000005,627.72807501,627.25431056000002,602.14861198000006,600.23098367452621,612.748610496521,629.46746715400002,634.43163241000002
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,62.20935059,62.20935059,62.20935059,62.20935059,62.20935059,62.20935059,62.20935059,62.20935059,62.209350585937507,62.209350585937507,62.209351322000003,62.209351810000001
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,1036.7175789,762.10227677,758.10648831000003,738.02274795000005,735.3822103,739.18409781000003,730.99664741000004,737.98792561000005,624.98373460769653,655.54811811447155,622.6933101300001,532.41785801000003
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,1229.3236999000001,648.76528929999995,648.76528929999995,648.76528929999995,171.1856995,171.1856995,55.113819120000002,55.113819120000002,55.113819122314446,55.113819122314446,666.70820739999999,678.67015279999998
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,50.553544807999998,17.987504989000001,15.014584854000001,14.191305287,13.101603853,11.487808543,10.995423102,26.192913414,25.035122565925121,23.816147014498714,13.790929092000001,12.975158584000001
