Fiscal Year,Certified Cover Crops Acres Planted in Chesapeake Bay Watershed (Annually),Stormwater Retrofits: Pounds of Nitrogen Removed,Stormwater Retrofits: New Pounds of Nitrogen Removed,Stormwater Retrofits: Existing Pounds of Nitrogen Removed,Wastewater Treatment Plants Retrofitted for Enhanced Nutrient Removal: Total Retrofits,Wastewater Treatment Plants Retrofitted for Enhanced Nutrient Removal: New Retrofits,Wastewater Treatment Plants Retrofitted for Enhanced Nutrient Removal: Existing Retrofits,Natural Filters on Private Lands: Total Acres,Natural Filters on Private Lands: New Acres,Natural Filters on Private Lands: Existing Acres,Agricultural Stream Protection (Acres)
FY2000,159773,,,,,,,13618,13618,0,26941
FY2001,70920,,,,,,,28005,14387,13618,27426
FY2002,97755,,,,,,,45487,17482,28005,27662
FY2003,113628,26101,26101,0,,,,61123,15636,45487,27899
FY2004,31335,42391,16290,26101,,,,69973,8850,61123,28681
FY2005,52302,58347,15956,42391,,,,76725,6752,69973,30057
FY2006,124800,74706,16359,58347,2,2,0,79519,2794,76725,31266
FY2007,232985,90689,15983,74706,5,3,2,81512,1993,79519,33767
FY2008,179366,106761,16072,90689,8,3,5,83395,1883,81512,36038
FY2009,179366,132453,25692,106761,11,3,8,86559,3164,83395,36792
FY2010,204713,188456,56003,132453,13,2,11,102511,15952,86559,41680
FY2013,404072,222584,21269,201315,30,4,26,111980,2313,109667,
FY2012,410676,201315,8617,192698,26,3,23,109667,3508,106159,49448
FY2011,384794,192698,4242,188456,23,10,13,106159,3648,102511,45663
FY2014,407541,239583,16999,222584,,,,114356,2376,111980,
