Land-River Segment,FIPS,County,Tributary Basin,Major Basin,Source Sector,"Total Sediment, 1985 (T)","Total Sediment, 2007 (T)","Total Sediment, 2009 (T)","Total Sediment, 2010 (T)","Total Sediment, 2011 (T)","Total Sediment, 2012 (T)","Total Sediment, 2013 (T)","Total Sediment, 2014 (T)","Total Sediment, 2015 (T)","Total Sediment, 2016 (T)","Total Sediment Target, 2017 (T)","Total Sediment Target, 2025 (T)"
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,311702.38238999998,173206.99389000001,152660.34198,166843.82920000001,152533.86395999999,159672.22602,104476.37585,150035.09779,134869.23083496094,132823.19946289062,,
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,1303614.5,1213122.7031,1176628.9062999999,1180808.4062999999,1183916.5937999999,1196497.5,1183955.2031,1084949.2793000001,1057641.3859863281,1126670.671875,,
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,913698.59727000003,590916.50370999996,586669.02272999997,585777.41157,579858.25370999996,580363.78176000004,1213053.1673000001,640105.23387999996,648142.1814727782,624908.11338043213,,
A24001PU0_3871_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,1128.93103,35.153521777000002,373.20823216999997,96.530563360000002,182.96260832999999,49.947208410000002,270.55129620000002,1132.1439786000001,75.143630981445312,24.77734375,,
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,670136.62753000006,382054.05812,339258.66090000002,368001.54908000003,337242.07316000003,350669.80372000003,243903.63,335784.06718000001,304833.67333984375,299798.7041015625,,
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,369810.86719000002,361236.71875,351450.48443000001,353283.65629999997,354998.09379999997,359287.51562999998,353835.00391000003,322496.60352,315254.48754882812,336481.90625,,
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,359661.27740000002,284025.16606999998,281798.01909999998,281158.79693000001,278102.67775999999,278679.84379999997,360063.69532,289524.60648999998,293206.61718750006,291034.72265625,,
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,14.743679999999999,14.743679999999999,14.743679999999999,14.75580025,14.75580025,14.755800247192385,14.755800247192385,,
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,923250.47629999998,506356.58551,444545.80209999997,487751.68349999998,445432.44147999998,467843.31761000003,331030.20702999999,465957.71385,420275.13916015625,414614.71240234375,,
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,507485.8125,477242.625,462856.59771,463870.85937999998,465025.74219000002,469214.78521,482188.19141000003,431459.70610000001,422311.88525390625,450598.83789062494,,
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,1162205.5859999999,1637708.7736,1486322.1095,1505995.625,1494593.0937999999,1735184.3125,1255221.3751000001,1176023.1876000001,1100009.1484375,1108332.046875,,
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,204808.37921000001,205367.18693,205374.20282999999,205414.10902999999,259575.16610999999,259607.51903,259614.32313999999,259642.01973,259804.42102050781,260071.55310058591,,
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,110387.29728,61107.772308,53798.645834000003,58869.888954000002,53799.061926000002,56370.213094999999,41652.388461000002,57324.657106999999,51949.075439453118,51226.252746582031,,
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,75822.489260000002,72775.800780000005,70711.655759000001,71034.338862999997,71312.916989999998,72140.117192999998,72514.004887000003,64934.542118999998,63490.905090332017,67713.994140625,,
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,22483.157709999999,20159.084416000002,20215.161024000001,20209.080563,20020.268309999999,20052.732175000001,24904.949462,25536.287357000001,21182.287231445313,21819.605102539066,,
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,,
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,2144981.1181999999,1243614.5205000001,1109598.0547,1197860.1865999999,1098483.4913000001,1137812.3274000001,803597.54162999999,1085763.1328,990625.55761718762,973325.12304687488,,
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,1644224.6875,1575520.7969,1531054.5937999999,1538080.0937999999,1543655.0937999999,1562068.0937999999,1562246.4062999999,1407750.3398,1373704.0600585937,1465410.703125,,
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24003WM1_3910_0001,24003,ANNE ARUNDEL,Patapsco/Back,Western Shore of Chesapeake Bay,Septic,0,0,0,,,,,,,,,
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,1252749.4697,777268.22470999998,772182.71193999995,771024.98828000005,836665.44923000003,766288.32421999995,1066144.4727,849544.09768000001,1059468.79296875,934487.58593749988,,
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,439.06631470000002,475.42999270000001,687.40570070000001,865.75262450000002,352.40780640000003,234.6333008,319.51208500000001,261.55560300000002,91.117446899414063,340.61459350585937,,
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,490150.50049000001,283420.07863,252687.89051,272994.25611000002,250399.80042000001,259523.08650999999,180790.00208000001,246025.87353000001,224058.57055664065,220150.63427734375,,
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,262445.39451000001,253851.68755,246731.50784000001,247887.21682,248892.95318000001,251806.68753,252463.73827999999,225844.27056,221289.85717773437,236060.6103515625,,
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,1217227.4132000001,726738.11916,720409.18169,718221.99441000004,710339.83817999996,712626.77304999996,868913.05004999996,884836.12918000005,703716.67456054676,717772.82666015613,,
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,138607.9976,136310.93557999999,136310.93557999999,136310.93557999999,8081.8339839999999,8081.8339839999999,8081.8339839999999,8081.8339839999999,8081.833984375,8081.833984375,,
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,23554.680172,13015.991656,11452.176605000001,12537.772768000001,11453.283514999999,12008.638717,9294.0125814999992,12595.461792,11445.78076171875,11294.042671203613,,
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,3970.9917605000001,4395.4506841000002,4308.1115116000001,4348.1204223000004,4390.9247131000002,4460.918823,5157.7732543000002,4521.6997835000002,4444.1876659393311,4760.8156127929687,,
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,17844.395423000002,17634.585118999999,17505.853446000001,17489.866540999999,17411.200423999999,17325.879133999999,7270.2807107999997,7189.9829486999997,7033.3664050102243,7210.4387917518607,,
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,68307.509770000004,68363.789059999996,68363.789059999996,68363.789059999996,99050.269530000005,99050.269530000005,98981.25,98981.25,98981.25,98981.25,,
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,24047.348952,13198.323737999999,11590.725736,12721.508759,11609.603352,12190.489476000001,9595.0270001999997,12985.064818999999,11804.878463745119,11649.484085083008,,
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,3612.6472778000002,3458.5679934,3352.7153321000001,3386.7219543000001,3403.0613705999999,3430.3074037000001,4148.5846553000001,3651.4573970000001,3628.8808221817012,3887.3686218261723,,
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,31745.088621999999,35236.380120000002,33803.367550000003,31596.893788000001,31017.760548999999,32760.996275000001,20286.080447,20341.278217999999,18810.672012329102,20087.143646240238,,
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,125464.79296999999,201276.93299,170864.92509,253388.62049,140046.39387999999,130022.22590999999,116753.04358,123597.13538000001,112671.34435963631,123067.55334401129,,
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,742651.32087000005,431148.46217000001,384830.38232999999,415285.00977,381126.26186000003,394536.41862999997,269474.09457999998,368114.64283000003,335801.43530273437,329777.19897460943,,
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,629993.20310000004,598246.96094000002,580983.93755000003,583443.96094000002,585555.625,592084.61724000005,594523.71875,533654.21392000001,520752.20703125006,555216.80468750012,,
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,425364.44922000001,401412.59863999998,398229.125,397230.65629999997,392911.75396,393748.45312999998,450981.30077999999,454029.625,478894.71484375,452755.12109375,,
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,,
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,26400.149721000002,14600.044784,12850.061035999999,14063.441527000001,12854.876851999999,13470.967744,10436.851563,14122.647568,12839.226181030272,12673.384323120119,,
A24003WL0_4425_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,53372.90137,49721.645999,48228.516603999997,48401.191403999997,48530.262696999998,49049.468259000001,49330.499026999998,44439.318600999999,43377.209121704094,46206.27392578125,,
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,,
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,,
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,1320.8731083,1246.6452792,1237.4496919999999,1236.8383100999999,1223.0569149999999,1225.2035526,3048.6507029999998,3493.6937481999998,2364.7514801025391,2220.6094131469727,,
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,,
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,25312.319790000001,13934.884346000001,12246.984723,13425.186970999999,12262.385783,12862.96854,9847.2702487000006,13435.649826999999,12191.24243927002,12024.73893737793,,
