Water Year (WY),Annual Flow (billion gal/d),River Input (tons/yr),River Input (lbs/yr),Wastewater downstream of RIM sites (lbs/yr),Nonpoint downstream of RIM Sites (lbs/yr),Rounded Total (lbs/yr),Rounded Total (x10^6 lbs/yr)
1985, 36.84 ,1336270.00,2672540000.00,80143838.00,9814768968.68,12600000000.00,12600.00
1986, 50.76 ,7851855.00,15703710000.00,79729943.00,13093858469.63,28900000000.00,28900.00
1987, 50.62 ,4230060.00,8460120000.00,84837932.00,11264995786.57,19800000000.00,19800.00
1988, 38.32 ,2463085.00,4926170000.00,81704817.00,10386164923.00,15400000000.00,15400.00
1989, 49.27 ,3775360.00,7550720000.00,82660548.00,10975800671.23,18600000000.00,18600.00
1990, 48.86 ,2097295.00,4194590000.00,55624719.00,10165331945.89,14400000000.00,14400.00
1991, 54.29 ,3331130.00,6662260000.00,47330589.00,10766512962.55,17500000000.00,17500.00
1992, 39.04 ,1696805.00,3393610000.00,49875629.00,9972658387.65,13400000000.00,13400.00
1993, 65.28 ,7010870.00,14021740000.00,48310046.00,12552450871.96,26600000000.00,26600.00
1994, 69.16 ,6196300.00,12392600000.00,52400998.00,12155406382.16,24600000000.00,24600.00
1995, 38.71 ,2142450.00,4284900000.00,47538036.00,10178810804.72,14500000000.00,14500.00
1996, 74.33 ,10630590.00,21261180000.00,53806592.00,14189688636.31,35500000000.00,35500.00
1997, 58.04 ,3545605.00,7091210000.00,48226305.00,10854451839.57,18000000000.00,18000.00
1998, 68.51 ,6641105.00,13282210000.00,46775009.00,12375726917.76,25700000000.00,25700.00
1999, 29.47 ,783850.00,1567700000.00,31213158.00,9524524754.82,11100000000.00,11100.00
2000, 45.63 ,1321000.00,2642000000.00,28393577.00,9796342507.03,12500000000.00,12500.00
2001, 34.00 ,958000.00,1916000000.00,27187184.00,9617158247.36,11600000000.00,11600.00
2002, 29.34 ,688382.50,1376765000.00,29156944.00,9483120224.25,10900000000.00,10900.00
2003, 76.91 ,9340900.00,18681800000.00,32549519.00,13737724009.04,32500000000.00,32500.00
2004, 76.27 ,15388965.00,30777930000.00,33907150.00,16749210742.11,47600000000.00,47600.00
2005, 56.62 ,4929320.00,9858640000.00,33237316.00,11560627626.45,21500000000.00,21500.00
2006, 50.09 ,4064710.00,8129420000.00,30679691.00,11111801231.84,19300000000.00,19300.00
2007, 51.38 ,3262040.00,6524080000.00,27116748.00,10716175962.35,17300000000.00,17300.00
2008, 48.02 ,2946470.00,5892940000.00,27968840.00,10566525495.97,16500000000.00,16500.00
2009, 40.98 ,1470765.00,2941530000.00,31642129.00,9851364878.61,12800000000.00,12800.00
2010, 51.64 ,5277450.00,10554900000.00,31850704.00,11688770408.87,22300000000.00,22300.00
2011, 73.03 ,25889595.00,51779190000.00,30638693.00,21627827427.70,73400000000.00,73400.00
2012, 51.71 ,2272565.00,4545130000.00,30393048.00,10221223207.06,14800000000.00,14800.00
2013, 49.12 ,2978435.00,5956870000.00,31974715.00,10545169371.84,16500000000.00,16500.00
2014, 52.55 ,3761585.00,7523170000.00,32573058.00,10926365042.43,18500000000.00,18500.00
2015, 41.04 ,1581345.00,3162690000.00,25983618.00,9895943678.63,13100000000.00,13100.00
2016, 46.28 ,2506660.00,5013320000.00,25271971.00,10360464796.28,15400000000.00,15400.00
2017, 47.70 ,2165130.00,4330260000.00,18256306.00,10184458470.75,14500000000.00,14500.00
2018, 70.51 ,7844370.00,15688740000.00,21081481.00,13042257093.00,28800000000.00,28800.00
2019, 84.51 ,6992900.00,13985800000.00,22141341.00,12576822156.12,26600000000.00,26600.00
